GROUP_ID,X1st_dom_male,budded_dom_male,X1st_dom_female,budded_dom_female,natal_1st_dom_male,natal_1st_dom_female
WAXBILL,4H-48933,1,4H-48713,1,CHIMP,DIKDIK
KITE,4H-48753,1,4H-48714,1,INDRI,GELADA
DASSIE,4H-48727,0,4H-48717,1,PUKU,HYRAX
CANARY,4H-48726,1,4H-48717,0,OKAPI,HYRAX
YETI,4H-48744,NA,4H-48728,1,NA,PUKU
OSTRICH,4H-48949,NA,4H-48738,0,NA,ELAND
PORCUPINE,4H-48719,0,4H-48902,1,INDRI,OKAPI
ROBIN,4H-48971,NA,4H-48917,1,NA,ELAND
VULTURE,4H-48824,NA,4H-48932,1,NA,DIKDIK
TIT,4H-54905,NA,4H-54906,NA,NA,NA
KORHAAN,4H-68868,NA,4H-54906,NA,NA,NA
STORK,4H-48938,1,4H-54951,NA,RATEL,NA
XBOX,4H-48983,1,4H-54984,NA,XMEN,NA
ORIOLE,4H-55295,NA,4H-55001,1,NA,YIPPEE
IGUANA,4H-68659,NA,4H-55050,NA,LEMUR,DIKDIK
PYTHON,4H-55301,1,4H-55051,1,CHIMP,NYALA
JERBOA,4H-55125,NA,4H-55124,NA,NA,NA
BRUBRU,4H-68695,NA,4H-68693,NA,NA,NA
WREN,4H-68695,NA,4H-68694,NA,NA,NA
FINCH,4H-55312,NA,4H-68715,NA,DIKDIK,DIKDIK
GNU,4H-68720,NA,4H-68743,NA,LEMUR,NA
MARTIN,4H-55066,0,4H-68774,NA,KUDU,NA
