Date,BIRD ID,Weight
12/11/2007,4H-39130,43.1
13/11/2007,4H-39131,49.4
13/11/2007,4H-39132,45.1
13/11/2007,4H-39133,48.2
16/11/2007,4H-39134,50.4
16/11/2007,4H-39136,45.4
17/11/2007,4H-39137,46.6
17/11/2007,4H-39138,44.9
17/11/2007,4H-39139,47.9
19/11/2007,4H-39140,49.2
19/11/2007,4H-39141,47.3
19/11/2007,4H-39142,44.8
20/11/2007,4H-39143,49.6
21/11/2007,4H-39144,41.7
21/11/2007,4H-39145,47.2
25/11/2007,4H-39136,46.2
25/11/2007,4H-39149,45.9
25/11/2007,4H-39150,45
25/11/2007,4H-39151,45.8
25/11/2007,4H-39152,43.9
25/11/2007,4H-39153,48.7
26/11/2007,4H-39154,45.6
26/11/2007,4H-39133,48.4
26/11/2007,4H-39155,47.3
26/11/2007,4H-39156,49.7
27/11/2007,4H-39157,45.8
27/11/2007,4H-39158,45.3
27/11/2007,4H-39159,46.5
27/11/2007,4H-39160,47.4
28/11/2007,4H-39135,45.9
30/11/2007,4H-39162,44.3
30/11/2007,4H-39149,45.2
01/12/2007,4H-39163,49.3
01/12/2007,4H-39153,50.9
01/12/2007,4H-39152,46.2
01/12/2007,4H-39135,48.3
04/12/2007,4H-39131,46.8
04/12/2007,4H-39168,45.8
08/12/2007,4H-39146,47.1
08/12/2007,4H-39154,47.9
08/12/2007,4H-39136,48.3
08/12/2007,4H-39170,44.7
08/12/2007,4H-39153,50.2
08/12/2007,4H-39152,44.7
10/12/2007,4H-39152,43.8
10/12/2007,4H-39153,47.7
10/12/2007,4H-39174,43.4
10/12/2007,4H-39156,51
12/12/2007,4H-39175,51.2
12/12/2007,4H-39176,40.1
12/12/2007,4H-39177,49.6
13/12/2007,4H-39137,46.9
13/12/2007,4H-39143,52.5
13/12/2007,4H-39178,45.5
14/12/2007,4H-39179,47
14/12/2007,4H-39133,51.7
15/12/2007,4H-39155,50.3
15/12/2007,4H-39150,45.8
16/12/2007,4H-39180,46.3
16/12/2007,4H-39181,48.5
16/12/2007,4H-39177,48.5
16/12/2007,4H-39182,48.8
18/12/2007,4H-39184,46.4
19/12/2007,4H-39141,49.3
19/12/2007,4H-39142,46.7
20/12/2007,4H-39185,43
21/12/2007,4H-39157,46.9
23/12/2007,4H-39178,47
23/12/2007,4H-39192,46.9
23/12/2007,4H-39193,47.6
26/12/2007,4H-39145,49.1
26/12/2007,4H-39139,50.5
26/12/2007,4H-39194,46.3
26/12/2007,4H-39180,51.2
20/12/2007,4H-39186,43.4
21/12/2007,4H-39187,48.9
28/12/2007,4H-39195,46.5
28/12/2007,4H-39196,41.9
28/12/2007,4H-39197,45.9
28/12/2007,4H-39130,44.7
10/01/2008,4H-48729,42.3
05/01/2008,4H-39139,47.9
05/01/2008,4H-39150,44.1
07/01/2008,4H-39141,47.2
07/01/2008,4H-48705,44.6
07/01/2008,4H-39142,45.4
07/01/2008,4H-39136,45.3
09/01/2008,4H-39137,46.7
09/01/2008,4H-48710,44.4
12/01/2008,4H-39149,44.8
15/01/2008,4H-39197,45.9
15/01/2008,4H-39196,41.1
15/01/2008,4H-39130,
16/01/2008,4H-39132,46.2
17/01/2008,4H-48721,48.1
17/01/2008,4H-48722,49.9
17/01/2008,4H-39157,45.5
17/01/2008,4H-48723,41.8
18/01/2008,4H-39160,46.7
24/01/2008,4H-39178,46.5
24/01/2008,4H-48718,46.7
25/01/2008,4H-39179,45.1
25/01/2008,4H-39182,49
